,FLEET,AC CODE,"FLT#
(OB)","FLT#
(IB)",ORIG,DEST,"DEST
(ret)","ORIG
(ret)","DEP OB
(HHMM)","ARR OB
(HHMM)","BLOCK OB
(HHMM)","DEP IB
(HHMM)","ARR IB
(HHMM)","BLOCK IB
(HHMM)",OPR,,,,,,,
Domestic,E175,E7W,6256,6257,LAX,MRY,MRY,LAX,1720,1847,0127,1932,2045,0113,SSX,,,,,,,
Domestic,737/D,738K,1792,796,AUS,JFK,JFK,AUS,0958,1430,0332,1530,1833,0403,NAC,,,,,,,
Domestic,737/D,738K,446,447,PHX,FLL,FLL,PHX,0830,1549,0419,1635,1837,0502,NAC,,,,,,,
Domestic,737/D,738K,1470,1471,MIA,CHS,CHS,MIA,1420,1606,0146,1651,1837,0146,NAC,,,,,,,
Domestic,737/D,738K,853,853,AUS,MSO,MSO,AUS,1045,1330,0345,1415,1841,0326,NAC,,,,,,,
Domestic,737/D,738K,961,961,PHX,MSY,MSY,PHX,1125,1631,0306,1716,1851,0335,NAC,,,,,,,
Domestic,737/D,738K,2242,2275,PHX,SAT,SAT,PHX,1337,1755,0218,1840,1915,0235,NAC,,,,,,,
Domestic,737/D,738K,2142,2179,BOS,RSW,RSW,BOS,1205,1525,0320,1610,1916,0306,NAC,,,,,,,
Domestic,737/D,738K,1758,1793,JFK,PHX,PHX,JFK,1000,1228,0528,1143,1924,0441,NAC,,,,,,,
Domestic,737/D,738K,1092,1099,MIA,LGA,LGA,MIA,1255,1545,0250,1630,1929,0259,NAC,,,,,,,
Domestic,737/D,738K,3072,3073,MIA,MSY,MSY,MIA,1430,1544,0214,1629,1930,0201,NAC,,,,,,,
Domestic,E175,E7W,3530,3531,LAX,MSO,MSO,LAX,0625,0955,0230,1040,1205,0225,EMY,,,,,,,
Domestic,737/D,738K,886,887,JFK,MIA,MIA,JFK,1300,1558,0258,1643,1932,0249,NAC,,,,,,,
Domestic,320/D,319W,4512,4513,LAX,OAK,OAK,LAX,1510,1643,0133,1728,1847,0119,PFT,,,,,,,
Domestic,320/D,H205,4486,4487,LAX,OAK,OAK,LAX,2015,2148,0133,2233,2352,0119,PFT,,,,,,,
Domestic,737/D,738K,1056,1067,LGA,BNA,BNA,LGA,1425,1551,0226,1640,1950,0210,NAC,,,,,,,
Domestic,737/D,738K,262,261,BOS,FLL,FLL,BOS,1245,1602,0317,1647,1952,0305,NAC,,,,,,,
Domestic,737/D,738K,1908,1933,AUS,STL,STL,AUS,1448,1655,0207,1735,1952,0217,NAC,,,,,,,
Domestic,E175,E7S,4386,4387,RDU,HHH,HHH,RDU,0850,1035,0145,1105,1250,0145,RBD,,,,,,,
Domestic,737/D,738K,336,329,PHX,ORD,ORD,PHX,1200,1712,0312,1757,1956,0359,NAC,,,,,,,
Hawaii,320/I,321E,488,489,LAX,OGG,OGG,LAX,1248,1550,0602,1650,0057,0507,NAC,,,,,,,
Domestic,737/D,738K,2067,2067,PHX,BOS,BOS,PHX,0825,1622,0457,1720,2007,0547,NAC,,,,,,,
Domestic,737/D,738K,574,575,LGA,PBI,PBI,LGA,1350,1641,0251,1735,2018,0243,NAC,,0705,1137,1222,1525,0045,0045
Domestic,737/D,738K,1700,1701,AUS,EWR,EWR,AUS,1159,1629,0330,1719,2019,0400,NAC,,,,,,,
Domestic,737/D,738K,762,763,PHX,CMH,CMH,PHX,1118,1805,0347,1855,2019,0424,NAC,,,,,,,
Hawaii,320/I,321E,491,491,LAX,OGG,OGG,LAX,1810,2121,0611,2211,0618,0507,NAC,,,,,,,
Domestic,737/D,738K,1874,1873,PHX,ORD,ORD,PHX,1230,1742,0312,1827,2026,0359,NAC,,,,,,,
Domestic,E175,E7W,3316,3317,RDU,HHH,HHH,RDU,1155,1326,0131,1357,1525,0128,EMY,,,,,,,
Domestic,737/D,738K,882,883,MIA,DCA,DCA,MIA,1501,1732,0231,1812,2048,0236,NAC,,,,,,,
Domestic,737/D,738K,2023,2023,AUS,OMA,OMA,AUS,1535,1750,0215,1830,2048,0218,NAC,,,,,,,
Domestic,E175,E7W,6206,6207,LAX,OMA,OMA,LAX,0905,1415,0310,1445,1613,0328,SSX,,,,,,,
Domestic,737/D,738K,705,705,AUS,MSY,MSY,AUS,1656,1834,0138,1909,2057,0148,NAC,,0850,1322,1407,1710,0045,0045
Domestic,737/D,738K,3936,3937,JFK,MIA,MIA,JFK,1430,1728,0258,1813,2102,0249,NAC,,1735,1927,2012,2344,0045,0045
Domestic,737/D,738K,2444,2473,MIA,ORD,ORD,MIA,1415,1614,0259,1659,2106,0307,NAC,,,,,,,
Domestic,737/D,738K,790,791,MIA,MCO,MCO,MIA,1745,1905,0120,1950,2109,0119,NAC,,,,,,,
Domestic,E175,E7W,6208,6209,LAX,OMA,OMA,LAX,1832,2355,0323,0600,0748,0348,SSX,,,,,,,
Domestic,737/D,738K,3238,3239,AUS,DCA,DCA,AUS,1750,2015,0125,2100,2121,0121,NAC,,,,,,,
Domestic,737/D,738K,3968,3969,LGA,MSY,MSY,LGA,1430,1647,0317,1740,2136,0256,NAC,,,,,,,
Domestic,737/D,738K,1718,1719,MIA,JAX,JAX,MIA,1750,1922,0132,2012,2143,0131,NAC,,,,,,,
Domestic,737/D,738K,1502,1537,AUS,MIA,MIA,AUS,0755,1140,0245,1935,2144,0309,NAC,,,,,,,
Domestic,737/D,738K,1182,1183,LGA,RSW,RSW,LGA,1510,1808,0258,1858,2146,0248,NAC,,,,,,,
Domestic,737/D,738K,3158,3159,DFW,SFO,SFO,DFW,2232,0028,0356,1635,2147,0312,NAC,,,,,,,
Domestic,737/D,738K,3115,3115,MIA,MSY,MSY,MIA,1650,1804,0214,1849,2150,0201,NAC,,,,,,,
Domestic,737/D,738K,2326,2361,PHX,ORD,ORD,PHX,1500,2012,0312,2000,2159,0359,NAC,,,,,,,
Domestic,737/D,738K,821,820,BOS,AUS,AUS,BOS,1300,1626,0426,1711,2203,0352,NAC,,,,,,,
Domestic,737/D,738K,1180,1199,AUS,MSY,MSY,AUS,1802,1940,0138,2020,2208,0148,NAC,,,,,,,
Domestic,737/D,738K,1998,1999,MIA,AUS,AUS,MIA,1530,1735,0305,1830,2212,0242,NAC,,,,,,,
Domestic,737/D,738K,708,709,AUS,MCO,MCO,AUS,1610,1943,0233,2035,2230,0255,NAC,,,,,,,
Domestic,737/D,738K,410,413,MIA,JFK,JFK,MIA,1600,1849,0249,1934,2232,0258,NAC,,,,,,,
Domestic,737/D,738K,1676,1677,AUS,JFK,JFK,AUS,1358,1830,0332,1930,2233,0403,NAC,,,,,,,
Domestic,737/D,738K,1690,1723,AUS,BOI,BOI,AUS,1500,1738,0338,1823,2239,0316,NAC,,,,,,,
Domestic,737/D,738K,3212,3213,AUS,ELP,ELP,AUS,1715,1813,0158,2000,2246,0146,NAC,,,,,,,
Domestic,737/D,738K,1916,1917,AUS,FLL,FLL,AUS,1615,2000,0245,2045,2254,0309,NAC,,,,,,,
Domestic,737/D,738K,3162,3163,MIA,BOS,BOS,MIA,1545,1853,0308,1938,2258,0320,NAC,,,,,,,
Domestic,737/D,738K,820,821,AUS,BOS,BOS,AUS,1400,1852,0352,1937,2303,0426,NAC,,,,,,,
Domestic,737/D,738K,3294,3295,PHX,AUS,AUS,PHX,1725,2145,0220,2230,2309,0239,NAC,,,,,,,
Domestic,737/D,738K,1600,1600,AUS,BNA,BNA,AUS,1757,2006,0209,2046,2310,0224,NAC,,,,,,,
Domestic,737/D,738K,2048,2077,MIA,BNA,BNA,MIA,1745,1910,0225,2000,2317,0217,NAC,,,,,,,
Domestic,737/D,738K,1318,1319,LAX,ORD,ORD,LAX,1215,1759,0344,1844,2113,0429,NAC,,,,,,,
Domestic,737/D,738K,2188,2227,PHX,ORD,ORD,PHX,1555,2107,0312,2152,2351,0359,NAC,,,,,,,
Domestic,E175,E7W,3552,3553,RDU,HHH,HHH,RDU,1650,1821,0131,1906,2034,0128,EMY,,,,,,,
Domestic,737/D,738K,2902,2903,MIA,EWR,EWR,MIA,1730,2019,0249,2100,2357,0257,NAC,,1750,1950,2035,0203,0045,0045
Domestic,737/D,738K,1564,1601,AUS,DCA,DCA,AUS,2133,2358,0125,0600,0621,0121,NAC,,,,,,,
Domestic,E175,E7W,4138,4139,JFK,MEM,MEM,JFK,1250,1456,0306,1541,1922,0241,RBD,,,,,,,
Mexico,737/D,738K,3278,3279,AUS,GDL,GDL,AUS,2251,0010,0219,0510,0822,0212,NAC,,,,,,,
Domestic,E190,E95,4898,4899,RDU,HPN,HPN,RDU,0945,1125,0140,1210,1356,0146,PFT,,,,,,,
Mexico,320/I,321K,2944,2945,PHL,CUN,CUN,PHL,1005,1252,0347,1350,1821,0331,NAC,,,,,,,
Domestic,E190,E95,4632,4633,RDU,HPN,HPN,RDU,1755,1935,0140,2020,2206,0146,PFT,,,,,,,
Mexico,320/I,321E,638,647,PHX,CUN,CUN,PHX,1025,1618,0353,1715,1940,0425,NAC,,,,,,,
Domestic,320/D,319W,216,215,LAX,PDX,PDX,LAX,0725,0950,0225,1035,1245,0210,AAA,,,,,,,
Mexico,737/I,738M,3126,3127,PHX,CUN,CUN,PHX,1310,1907,0357,0800,1031,0431,NAC,,,,,,,
Domestic,320/D,319W,2096,2129,LAX,PDX,PDX,LAX,1050,1315,0225,1400,1610,0210,AAA,,,,,,,
Mexico,737/D,738K,1044,1053,AUS,GDL,GDL,AUS,1201,1320,0219,1415,1727,0212,NAC,,,,,,,
Domestic,E175,E7W,4138,4139,JFK,MEM,MEM,JFK,1250,1456,0306,1541,1922,0241,RBD,,,,,,,
Domestic,737/D,738R,739,734,LAX,PDX,PDX,LAX,1105,1330,0225,0815,1025,0210,AUR,,,,,,,
Domestic,E145,EMJ,6122,6123,RDU,HSV,HSV,RDU,2224,2314,0150,0605,0844,0139,EMY,,,,,,,
Domestic,320/D,319W,3226,3227,MIA,MEM,MEM,MIA,2325,0059,0234,0530,0851,0221,NAC,,,,,,,
South America,737/I,738K,3130,3131,MIA,MDE,MDE,MIA,1830,2054,0324,0039,0510,0331,NAC,,,,,,,
South America,737/I,738K,3114,3114,MIA,CTG,CTG,MIA,2204,2355,0251,0600,0958,0258,NAC,,,,,,,
South America,737/I,738K,1154,1154,MIA,MDE,MDE,MIA,2120,2344,0324,0600,1031,0331,NAC,,,,,,,
South America,737/I,738K,492,493,MIA,BAQ,BAQ,MIA,0955,1144,0249,1245,1642,0257,NAC,,,,,,,
South America,737/I,738K,958,959,MIA,MDE,MDE,MIA,0955,1219,0324,1320,1751,0331,NAC,,,,,,,
South America,737/I,738K,954,949,MIA,CTG,CTG,MIA,1115,1306,0251,1410,1808,0258,NAC,,,,,,,
Mexico,737/I,738K,3898,3899,MSP,CUN,CUN,MSP,0815,1213,0358,1213,1618,0405,AAA,,,,,,,
Domestic,E145,EMJ,6096,6097,RDU,HSV,HSV,RDU,1212,1227,0115,1305,1520,0115,EMY,,,,,,,
Domestic,737/D,738R,1246,1247,PDX,STS,STS,PDX,2140,2326,0146,0011,0157,0146,AUR,,,,,,,
Domestic,E190,E95,3520,3521,RDU,HVN,HVN,RDU,1445,1631,0146,1716,1910,0154,PFT,,,,,,,
Alaska,737/D,738R,100,101,ANC,FAI,FAI,ANC,0600,0724,0124,0814,0940,0126,AUR,,,,,,,
Domestic,737/D,738R,1329,1328,LAS,LAX,LAX,LAS,0600,0715,0115,0800,0920,0120,OLD,,,,,,,
Mexico,737/D,738R,1852,1853,PDX,MZT,MZT,PDX,0625,1031,0406,1226,1652,0426,AUR,,,,,,,
Hawaii,737/D,738R,20,21,OGG,SEA,SEA,OGG,0700,1541,0541,1631,1958,0627,OLD,,,,,,,
Alaska,737/D,738R,1740,1741,PDX,FAI,FAI,PDX,0710,1016,0406,1106,1552,0346,AUR,,,,,,,
Alaska,737/D,738R,1130,1131,PDX,ANC,ANC,PDX,0755,1052,0357,1142,1616,0334,AUR,,,,,,,
Canada,737/D,738R,1224,1225,SFO,YYZ,YYZ,SFO,0755,1547,0452,1637,1919,0542,AAH,,,,,,,
Domestic,737/D,738R,1090,1095,DEN,FLL,FLL,DEN,0845,1433,0348,1518,1727,0409,OLD,,,,,,,
Domestic,737/D,738R,602,603,PDX,SEA,SEA,PDX,0850,1005,0115,1050,1206,0116,AUR,,,,,,,
Alaska,737/D,738R,506,507,ANC,LAS,LAS,ANC,0900,1459,0459,1549,2019,0530,AUR,,,,,,,
Domestic,737/D,738R,1748,1777,SFO,CLE,CLE,SFO,0915,1656,0441,1741,2010,0529,OLD,,,,,,,
Domestic,737/D,738R,2248,677,DEN,FAT,FAT,DEN,0915,1048,0233,1133,1438,0205,OLD,,,,,,,
Domestic,737/D,738R,1144,1145,PDX,SAN,SAN,PDX,0925,1157,0232,1242,1520,0238,AUR,,,,,,,
Domestic,737/D,738R,1232,1233,PDX,LAS,LAS,PDX,0950,1202,0212,1247,1507,0220,AUR,,,,,,,
Domestic,737/D,738R,1478,1511,DEN,RSW,RSW,DEN,1000,1538,0338,1623,1820,0357,OLD,,,,,,,
Domestic,737/D,738R,373,370,LAX,PDX,PDX,LAX,1520,1745,0225,1830,2040,0210,AUR,,,,,,,
Alaska,737/D,738R,110,111,ANC,SEA,SEA,ANC,1015,1438,0323,1528,1814,0346,AUR,,,,,,,
Domestic,737/D,738R,1325,1324,LAS,LAX,LAX,LAS,1015,1130,0115,1215,1335,0120,OLD,,,,,,,
Alaska,737/D,738R,86,87,PDX,ANC,ANC,PDX,1025,1322,0357,1412,1846,0334,AUR,,,,,,,
Domestic,737/D,738R,342,345,DEN,SAT,SAT,DEN,1030,1343,0213,1428,1538,0210,OLD,,,,,,,
Domestic,737/D,738R,2352,2379,DEN,PIT,PIT,DEN,1100,1602,0302,1647,1808,0321,OLD,,,,,,,
Domestic,320/D,321E,924,915,LAX,PHL,PHL,LAX,2159,0606,0507,0705,0955,0550,NAC,,,,,,,
Domestic,737/D,738R,1562,1599,MCI,BNA,BNA,MCI,1002,1145,0143,1235,1427,0152,CARGO,,,,,,,
Alaska,737/D,738R,80,81,PDX,ANC,ANC,PDX,1115,1412,0357,1502,1936,0334,AUR,,,,,,,
Domestic,737/D,738R,248,247,MCI,TPA,TPA,MCI,1936,2317,0241,0820,1017,0257,CARGO,,,,,,,
Alaska,737/D,738R,112,113,ANC,SEA,SEA,ANC,1125,1548,0323,1638,1924,0346,AUR,,,,,,,
Domestic,737/D,738R,676,683,DEN,SLC,SLC,DEN,1145,1324,0139,1409,1529,0120,OLD,,,,,,,
Alaska,737/D,738R,75,75,PDX,JNU,JNU,PDX,1150,1339,0249,1429,1808,0239,AUR,,,,,,,
Hawaii,737/D,738R,436,437,HNL,ONT,ONT,HNL,1210,2041,0531,2131,0058,0627,OLD,,,,,,,
Domestic,737/D,738R,672,2279,DEN,EUG,EUG,DEN,1220,1412,0252,1457,1818,0221,OLD,,,,,,,
Mexico,737/D,738R,648,649,PDX,PVR,PVR,PDX,1220,1747,0427,1842,2230,0448,AUR,,,,,,,
Domestic,737/D,738R,1084,1093,DEN,GEG,GEG,DEN,1315,1444,0229,1529,1834,0205,OLD,,,,,,,
Domestic,737/D,738R,1146,1147,PDX,LAS,LAS,PDX,1325,1537,0212,1622,1842,0220,AUR,,,,,,,
Domestic,320/D,321E,436,439,LAX,PHL,PHL,LAX,1053,1900,0507,2005,2255,0550,NAC,,,,,,,
Domestic,737/D,738R,1188,1197,DEN,CLE,CLE,DEN,1340,1832,0252,1917,2027,0310,OLD,,,,,,,
Domestic,737/D,738R,1980,1981,PDX,SLC,SLC,PDX,1355,1651,0156,1736,1844,0208,AUR,,,,,,,
Alaska,737/D,738R,74,74,ANC,JNU,JNU,ANC,1410,1600,0150,1650,1852,0202,AUR,,,,,,,
Domestic,737/D,738R,2221,1174,DEN,GTF,GTF,DEN,1415,1616,0201,1701,1845,0144,OLD,,,,,,,
Domestic,737/D,738R,3042,3043,LGA,MSP,MSP,LGA,1415,1613,0258,1705,2041,0236,AUR,,,,,,,
Alaska,737/D,738R,642,643,PDX,JNU,JNU,PDX,1440,1629,0249,1719,2058,0239,AUR,,,,,,,
Domestic,320/D,321R,1902,1961,LAX,PHX,PHX,LAX,0700,0830,0130,0915,1044,0129,NAC,,,,,,,
Alaska,737/D,738R,104,105,ANC,FAI,FAI,ANC,1455,1619,0124,1709,1835,0126,AUR,,,,,,,
Alaska,737/I,738R,77,77,SEA,JNU,JNU,SEA,1500,1638,0238,1728,2055,0227,AUR,,,,,,,
Domestic,737/D,738R,2376,1635,DEN,GEG,GEG,DEN,1500,1629,0229,1714,2019,0205,OLD,,,,,,,
Mexico,737/D,738R,1062,1063,SFO,SJD,SJD,SFO,1510,1814,0304,2009,2329,0320,OLD,,,,,,,
Domestic,737/D,738M,1568,1569,LAX,PHX,PHX,LAX,0615,0745,0130,0830,0959,0129,NAC,,,,,,,
Domestic,737/D,738R,1946,1967,DEN,IAH,IAH,DEN,1530,1849,0219,1934,2054,0220,OLD,,,,,,,
Domestic,737/D,738R,532,533,PDX,SEA,SEA,PDX,1530,1645,0115,1730,1846,0116,AUR,,,,,,,
Alaska,737/D,738R,78,79,ANC,OME,OME,ANC,1545,1743,0158,1833,2020,0147,AUR,,,,,,,
Domestic,737/D,738K,2442,2443,LAX,PIT,PIT,LAX,0921,1658,0437,1743,1958,0515,NAC,,,,,,,
Domestic,737/D,738R,1574,1575,PDX,SMF,SMF,PDX,1610,1754,0144,1839,2024,0145,AUR,,,,,,,
Alaska,737/D,738R,76,76,ANC,JNU,JNU,ANC,1615,1805,0150,1855,2057,0202,AUR,,,,,,,
Domestic,737/D,738R,340,343,DEN,EUG,EUG,DEN,1635,1827,0252,1912,2233,0221,OLD,,,,,,,
Domestic,737/D,738R,734,739,PDX,LAX,LAX,PDX,1710,1920,0210,2005,2230,0225,AUR,,,,,,,
Domestic,737/D,738R,478,483,DEN,SNA,SNA,DEN,1710,1842,0232,1927,2233,0206,OLD,,,,,,,
Alaska,737/D,738R,96,97,ANC,ADQ,ADQ,ANC,1720,1845,0125,1935,2059,0124,AUR,,,,,,,
Domestic,737/D,738R,1054,149,DEN,BOI,BOI,DEN,1805,2013,0208,2058,2243,0145,OLD,,,,,,,
Domestic,737/D,738R,606,607,PDX,FLL,FLL,PDX,1810,0250,0540,0535,0904,0629,AUR,,,,,,,
Hawaii,737/D,738R,70,71,OGG,PDX,PDX,OGG,1820,0251,0531,0600,0917,0617,OLD,,,,,,,
Domestic,E145,E4X,6200,6201,LAX,PSP,PSP,LAX,1000,1113,0113,1153,1258,0105,SSX,,,,,,,
Pacific,737/I,738R,833,832,PPG,CHC,CHC,PPG,0620,1039,0519,1309,1907,0458,CARGO,,,,,,,
Domestic,737/D,738R,370,373,PDX,LAX,LAX,PDX,1840,2050,0210,2135,0000,0225,AUR,,,,,,,
Alaska,737/D,738R,592,593,ANC,MSP,MSP,ANC,1850,0309,0519,0810,1113,0603,AUR,,,,,,,
Mexico,737/D,738K,1448,1449,LAX,PVR,PVR,LAX,0830,1229,0259,1330,1537,0307,NAC,,,,,,,
Domestic,737/D,738R,2304,2305,PDX,BNA,BNA,PDX,1925,0144,0419,0530,0830,0500,AUR,,,,,,,
Domestic,737/D,738R,2358,2383,DEN,LGA,LGA,DEN,1940,0118,0338,0820,1024,0404,OLD,,,,,,,
Domestic,737/D,738R,220,219,DEN,PDX,PDX,DEN,2005,2155,0250,2240,0200,0220,OLD,,,,,,,
Domestic,737/D,738R,890,891,PDX,SLC,SLC,PDX,2005,2301,0156,2346,0054,0208,AUR,,,,,,,
Domestic,E175,E7W,6210,6211,LAX,RDM,RDM,LAX,1345,1557,0212,1642,1841,0159,SSX,,,,,,,
Domestic,737/D,738R,1194,1203,DEN,IAH,IAH,DEN,2010,2329,0219,0014,0134,0220,OLD,,,,,,,
Domestic,737/D,738R,2474,573,SFO,BOI,BOI,SFO,2025,2312,0147,2357,0051,0154,OLD,,,,,,,
Domestic,737/D,738R,1124,1125,PDX,SBA,SBA,PDX,2035,2251,0216,2336,0155,0219,AUR,,,,,,,
Domestic,737/D,738R,148,1059,DEN,BOI,BOI,DEN,2055,2303,0208,2348,0133,0145,OLD,,,,,,,
Domestic,737/D,738R,1300,1309,DEN,DAL,DAL,DEN,2120,0016,0156,0820,0916,0156,OLD,,,,,,,
Domestic,737/D,738R,2302,1189,SFO,EUG,EUG,SFO,2150,2333,0143,0018,0200,0142,OLD,,,,,,,
Domestic,737/D,738R,1264,1265,SFO,LAS,LAS,SFO,2155,2330,0135,0015,0159,0144,OLD,,,,,,,
Domestic,737/D,738R,1126,1127,PDX,DEN,DEN,PDX,2220,0140,0220,0725,0915,0250,AUR,,,,,,,
Domestic,737/D,738R,1070,1071,PDX,SFO,SFO,PDX,2240,0032,0152,0840,1032,0152,AUR,,,,,,,
Domestic,737/D,738R,228,225,DEN,FAT,FAT,DEN,2250,0023,0233,0750,1055,0205,OLD,,,,,,,
Domestic,737/D,738R,572,2475,SFO,BOI,BOI,SFO,2335,0222,0147,0600,0654,0154,OLD,,,,,,,
Domestic,737/D,738R,1100,1101,PDX,SNA,SNA,PDX,2335,0159,0224,0645,0914,0229,AUR,,,,,,,
Pacific,737/D,738R,498,499,HNL,APW,APW,HNL,2350,0454,0604,0624,1306,0542,OLD,,,,,,,
Hawaii,B756,75E,36,37,HNL,LAX,LAX,HNL,0520,1318,0458,1408,1704,0556,OLD,,,,,,,
Hawaii,B756,75E,422,43,HNL,SEA,SEA,HNL,0620,1446,0526,1536,1844,0608,OLD,,,,,,,
Hawaii,B756,75E,50,51,HNL,SAN,SAN,HNL,0720,1534,0514,1624,1928,0604,OLD,,,,,,,
Domestic,B756,75E,440,445,DEN,LAS,LAS,DEN,0800,0900,0200,0945,1224,0139,OLD,,,,,,,
Hawaii,B756,75E,12,11,HNL,SFO,SFO,HNL,0820,1613,0453,1703,1939,0536,OLD,,,,,,,
Hawaii,B756,75E,64,65,SFO,KOA,KOA,SFO,0915,1209,0554,1259,2106,0507,AAH,,,,,,,
Hawaii,B756,75E,28,29,HNL,SFO,SFO,HNL,0920,1713,0453,1803,2039,0536,OLD,,,,,,,
Domestic,B756,75E,1078,1085,DEN,LAX,LAX,DEN,0935,1051,0216,1136,1436,0200,OLD,,,,,,,
Hawaii,B756,75E,34,35,HNL,LAX,LAX,HNL,1045,1843,0458,1933,2229,0556,OLD,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Domestic,B756,75E,1294,1295,AUS,LAS,LAS,AUS,1310,1416,0306,1501,1945,0244,NAC,,,,,,,
Domestic,B756,75E,1866,1887,DEN,SFO,SFO,DEN,1250,1430,0240,1515,1826,0211,OLD,,,,,,,
Hawaii,B756,75E,26,27,HNL,SFO,SFO,HNL,1330,2123,0453,2213,0049,0536,OLD,,,,,,,
Domestic,B756,75E,1644,1669,DEN,MCO,MCO,DEN,1440,2001,0321,2046,2222,0336,OLD,,,,,,,
Domestic,B756,75E,107,108,MSP,LAS,LAS,MSP,0630,0804,0334,0849,1357,0308,AAA,,,,,,,
Domestic,B756,75E,395,396,MSP,SFO,SFO,MSP,0720,0933,0413,1018,1557,0339,AAA,,,,,,,
Domestic,B756,75E,343,344,MSP,MCO,MCO,MSP,0900,1312,0312,1357,1623,0326,AAA,,,,,,,
Domestic,B756,75E,1774,1801,DEN,MCO,MCO,DEN,1545,2106,0321,2151,2327,0336,OLD,,,,,,,
Domestic,B756,75E,601,602,MSP,PHX,PHX,MSP,1300,1429,0329,1514,2020,0306,AAA,,,,,,,
Domestic,B756,75E,421,422,MSP,LAX,LAX,MSP,1445,1639,0354,1724,2257,0333,AAA,,,,,,,
Hawaii,B756,75E,10,11,HNL,PHX,PHX,HNL,1615,0101,0546,0505,0847,0642,OLD,,,,,,,
Hawaii,B756,75E,46,47,HNL,PDX,PDX,HNL,1650,0108,0518,0820,1119,0559,OLD,,,,,,,
Domestic,B756,75E,622,623,SFO,MCO,MCO,SFO,1740,0135,0455,0705,0945,0540,OLD,,,,,,,
Hawaii,B756,75E,30,31,HNL,LAX,LAX,HNL,1820,0218,0458,0515,0811,0556,OLD,,,,,,,
Domestic,B756,75P,44,45,PDX,JFK,JFK,PDX,0735,1531,0456,1616,1857,0541,AUR,,,,,,,
Domestic,B756,75P,226,227,PDX,BOS,BOS,PDX,0845,1650,0505,1735,2027,0552,AUR,,,,,,,
Domestic,B756,75P,2106,2107,SFO,BOS,BOS,SFO,1245,2108,0523,2153,0108,0615,OLD,,,,,,,
Domestic,B756,75P,968,1117,SFO,BOS,BOS,SFO,1330,2153,0523,2238,0153,0615,OLD,,,,,,,
Domestic,B756,75S,1603,1116,BOS,SFO,SFO,BOS,1000,1315,0615,1400,2223,0523,AAA,,,,,,,
Domestic,B756,75S,1117,968,BOS,SFO,SFO,BOS,1015,1330,0615,1415,2238,0523,AAA,,,,,,,
Domestic,B756,75S,2107,2106,BOS,SFO,SFO,BOS,1835,2150,0615,2235,0658,0523,AAA,,,,,,,
Domestic,B756,75S,864,871,BOS,MCO,MCO,BOS,0600,0855,0255,0940,1223,0243,NAC,,,,,,,
Domestic,320/D,A320,2214,2245,RDU,IAD,IAD,RDU,1630,1735,0105,1835,1935,0100,NAC,,,,,,,
Domestic,320/D,321E,1446,1447,LAX,RDU,RDU,LAX,0600,1348,0448,1445,1713,0528,NAC,,,,,,,
South America,B756,75S,224,223,AUS,LIM,LIM,AUS,2330,0620,0650,0830,1551,0721,NAC,,,,,,,
Hawaii,B756,75S,76,77,DEN,LIH,LIH,DEN,1430,1810,0740,0010,1037,0627,OLD,,,,,,,
Hawaii,B756,75S,434,435,OGG,DEN,DEN,OGG,1630,0245,0615,0635,1001,0726,OLD,,,,,,,
Hawaii,B756,75S,78,79,DEN,KOA,KOA,DEN,1930,2259,0729,2349,1007,0618,OLD,,,,,,,
Domestic,B756,75S,2144,2145,PDX,SFO,SFO,PDX,2110,2258,0148,2343,0131,0148,AUR,,,,,,,
Domestic,B756,75S,1064,1065,PDX,LAX,LAX,PDX,2150,2354,0204,0039,0257,0218,AUR,,,,,,,
Hawaii,B756,76J,448,449,HNL,SLC,SLC,HNL,0525,1521,0556,1611,1902,0651,OLD,,,,,,,
Hawaii,B756,76J,68,69,OGG,SLC,SLC,OGG,0530,1520,0550,1610,1853,0643,OLD,,,,,,,
Pacific,B756,76J,828,829,HNL,PPG,PPG,HNL,0650,1131,0541,1301,1925,0524,OLD,,,,,,,
Hawaii,B756,76J,8,9,HNL,SAN,SAN,HNL,0750,1604,0514,1654,1958,0604,OLD,,,,,,,
Hawaii,B756,76J,418,419,HNL,LAX,LAX,HNL,0850,1648,0458,1738,2034,0556,OLD,,,,,,,
Domestic,B756,76J,7797,7397,CVG,ORD,ORD,CVG,0500,0517,0117,2250,0120,0130,CARGO,,,,,,,
Caribbean,B756,76J,7845,7445,CVG,SJU,SJU,CVG,0630,1036,0406,2030,0100,0430,CARGO,,,,,,,
Hawaii,B756,76J,2,1,HNL,LAX,LAX,HNL,1015,1813,0458,1903,2159,0556,AAH,,,,,,,
Central America,B756,76J,7901,,MIA,PTY,PTY,MIA,0935,1134,0259,1234,1634,0300,CARGO,,,,,,,
Hawaii,B756,76J,40,41,HNL,JFK,JFK,HNL,1125,0250,0925,0640,1136,1056,OLD,,,,,,,
Caribbean,B756,76J,,,MIA,POS,POS,MIA,1205,1549,0344,0549,1000,0411,CARGO,,,,,,,
Domestic,B756,76J,208,207,JFK,MIA,MIA,JFK,0700,0958,0258,1130,1419,0249,NAC,,,,,,,
Domestic,B756,76J,534,535,MIA,AUS,AUS,MIA,1245,1454,0309,1539,1924,0245,NAC,,,,,,,
Europe,B756,76J,154,155,BOS,LIS,LIS,BOS,2020,0733,0613,0903,1114,0711,NAC,,,,,,,
